dataset_step,sim_t_sec,replan_count,chunk_phase,raw_dx,raw_dy,raw_dz,raw_gripper,target_gripper,filtered_gripper,current_z,target_z,target_filtered_z,pos_err_mm,rot_err_deg
9,0.0,1,0.0,-0.0007734596147201955,0.0017353593138977885,-0.00010886407835641876,6.262262344360352,0.9796118900693693,0.9796118900693693,-0.4046012759208679,-0.4046012759208679,-0.4046012759208679,1.9030919194067581,0.379468172514784
10,0.05,1,0.5,-0.00048022501141531393,0.001587233622558415,-0.00028840841332566924,6.260094404220581,0.9771200048512423,0.9771200048512423,-0.40501368045806885,-0.40501368045806885,-0.40501368045806885,0.7623988011003617,4.7713624572873625
11,0.1,1,1.0,-0.00018699040811043233,0.0014391079312190413,-0.00046795274829491973,6.2579264640808105,0.9746281196331152,0.9746281196331152,-0.4054260849952698,-0.4054260849952698,-0.4054260849952698,0.7623988011003617,13.111524040246382
12,0.15000000000000002,1,1.5000000000000002,8.138872362906125e-05,0.0018306475249119103,-0.0008296344603877516,6.255461692810059,0.9717950492069636,0.9717950492069636,-0.40479227900505066,-0.40479227900505066,-0.40479227900505066,1.2727653537527173,6.723777722573819
13,0.2,1,2.0,0.0003497678553685546,0.0022221871186047792,-0.0011913161724805832,6.252996921539307,0.9689619787808119,0.9689619787808119,-0.40415847301483154,-0.40415847301483154,-0.40415847301483154,1.2727653537527173,4.344490258055245
14,0.25,1,2.5,0.0007306626066565514,0.0028085444355383515,-0.0015233567683026195,6.246190309524536,0.9611382868098114,0.9611382868098114,-0.40454989671707153,-0.40454989671707153,-0.40454989671707153,2.0126623201254663,2.419089950365001
15,0.30000000000000004,1,3.0000000000000004,0.0011115573579445481,0.0033949017524719234,-0.0018553973641246553,6.239383697509766,0.9533145948388108,0.9533145948388108,-0.4049413204193115,-0.4049413204193115,-0.4049413204193115,2.012603869714417,4.93891433149045
16,0.35000000000000003,1,3.5,0.0009725626732688397,0.0024407919263467193,-0.0014001269883010536,6.224814414978027,0.9365682930781921,0.9365682930781921,-0.4049701690673828,-0.4049701690673828,-0.4049701690673828,0.9744048905405548,8.217085920546712
17,0.4,1,4.0,0.0008335679885931313,0.0014866821002215147,-0.0009448566124774516,6.210245132446289,0.9198219913175734,0.9198219913175734,-0.4049990177154541,-0.4049990177154541,-0.4049990177154541,0.9743720702098306,7.891636596256791
18,0.45,1,4.5,0.0009389881452079862,0.001753503456711769,-0.0012037979031447321,6.188113689422607,0.8943835510604681,0.8943835510604681,-0.4061519205570221,-0.4061519205570221,-0.4061519205570221,1.352031684238553,10.452691785799734
19,0.5,1,5.0,0.0010444083018228412,0.0020203248132020235,-0.0014627391938120127,6.165982246398926,0.8689451108033627,0.8689451108033627,-0.4073048233985901,-0.4073048233985901,-0.4073048233985901,1.3520008440591875,15.755917653022426
20,0.55,1,5.5,0.0010271131177432835,0.001959448854904622,-0.0013078300398774445,6.140263080596924,0.8393828512608317,0.8393828512608317,-0.40774500370025635,-0.40774500370025635,-0.40774500370025635,1.219955190814416,7.177782564494151
21,0.6000000000000001,1,6.000000000000001,0.001009817933663726,0.0018985728966072204,-0.0011529208859428766,6.114543914794922,0.8098205917183008,0.8098205917183008,-0.4081851840019226,-0.4081851840019226,-0.4081851840019226,1.219955190814416,3.4125825783349613
22,0.65,1,6.5,0.0010911280987784266,0.0020296397269703448,-0.001344533171504736,6.084411144256592,0.7751852232834386,0.7751852232834386,-0.4081190228462219,-0.4081190228462219,-0.4081190228462219,1.4493635196306425,4.568467590609624
