dataset_step,sim_t_sec,replan_count,chunk_phase,raw_dx,raw_dy,raw_dz,raw_gripper,target_gripper,filtered_gripper,current_z,target_z,target_filtered_z,pos_err_mm,rot_err_deg
9,0.0,1,0.0,-0.00020425462571438402,0.0013744471361860633,5.225368295214139e-05,6.26409387588501,0.9817170987184017,0.9817170987184017,-0.40459930896759033,-0.40459930896759033,-0.40459930896759033,1.3905242605827397,14.236663336207082
10,0.05,1,0.5,0.0003074753694818355,0.0019509721896611154,-0.0003186392004863592,6.264970064163208,0.982724211681848,0.982724211681848,-0.4049261212348938,-0.4049261212348938,-0.4049261212348938,1.3724658047407086,18.376470010705933
11,0.1,1,1.0,0.000819205364678055,0.0025274972431361675,-0.0006895320839248598,6.265846252441406,0.9837313246452942,0.9837313246452942,-0.40525293350219727,-0.40525293350219727,-0.40525293350219727,1.3724639759199992,13.816007453640013
12,0.15000000000000002,1,1.5000000000000002,0.0009550385584589094,0.0021848644828423858,-0.000982400408247486,6.264810800552368,0.982541150060193,0.982541150060193,-0.4059325158596039,-0.4059325158596039,-0.4059325158596039,1.2459914650567112,0.7507034296404186
13,0.2,1,2.0,0.0010908717522397637,0.001842231722548604,-0.0012752687325701118,6.26377534866333,0.9813509754750918,0.9813509754750918,-0.4066120982170105,-0.4066120982170105,-0.4066120982170105,1.2459914650567112,15.995554794775943
14,0.25,1,2.5,0.0011346672545187175,0.002242563758045435,-0.0013897689641453326,6.2609827518463135,0.9781410940762221,0.9781410940762221,-0.4062897861003876,-0.4062897861003876,-0.4062897861003876,1.6306938549156125,21.672898341295127
15,0.30000000000000004,1,3.0000000000000004,0.0011784627567976715,0.0026428957935422663,-0.0015042691957205538,6.258190155029297,0.9749312126773525,0.9749312126773525,-0.40596747398376465,-0.40596747398376465,-0.40596747398376465,1.6306938549156125,18.73358961295193
16,0.35000000000000003,1,3.5,0.0014349881676025689,0.00316032103728503,-0.0019602057291194797,6.254351615905762,0.9705190987422546,0.9705190987422546,-0.4077717661857605,-0.4077717661857605,-0.4077717661857605,2.357085631435967,22.059644026307495
17,0.4,2,0.0,0.0004581836110446602,0.00015814631478860974,-0.00035610675695352256,6.267643928527832,0.9857976189975078,0.9857976189975078,-0.3987125754356384,-0.3987125754356384,-0.3987125754356384,16.490811527810674,22.851880359521953
18,0.45,2,0.4999999999999999,0.0006645723042311147,0.000299724459182471,-0.0005302209901856259,6.2665064334869385,0.9844901534332623,0.9844901534332623,-0.39924079179763794,-0.39924079179763794,-0.39924079179763794,4.070000545630109,16.48495755071052
19,0.5,2,0.9999999999999998,0.000870960997417569,0.0004413026035763323,-0.0007043352234177291,6.265368938446045,0.9831826878690169,0.9831826878690169,-0.39976897835731506,-0.39976897835731506,-0.39976897835731506,0.6019237764535844,3.7196052708807827
20,0.55,2,1.5000000000000002,0.0011158388224430382,0.0007723678427282722,-0.001093582162866369,6.265436887741089,0.9832607905069984,0.9832607905069984,-0.3995486795902252,-0.3995486795902252,-0.3995486795902252,1.147519799354289,19.710655152228505
21,0.6000000000000001,2,2.0000000000000004,0.0013607166474685073,0.001103433081880212,-0.0014828291023150089,6.265504837036133,0.9833388931449799,0.9833388931449799,-0.3993283808231354,-0.3993283808231354,-0.3993283808231354,1.147635829771255,25.72458510392926
22,0.65,2,2.5,0.0013074635644443333,0.0012738826917484403,-0.001613054540939629,6.261890172958374,0.9791841068487055,0.9791841068487055,-0.40001988410949707,-0.40001988410949707,-0.40001988410949707,1.2940375749565178,22.427250806296723
23,0.7000000000000001,2,3.0000000000000004,0.0012542104814201591,0.001444332301616669,-0.0017432799795642495,6.258275508880615,0.975029320552431,0.975029320552431,-0.40071138739585876,-0.40071138739585876,-0.40071138739585876,1.2940489424366144,10.763518549043798
24,0.75,2,3.4999999999999996,0.0011566380271688104,0.0017605398315936325,-0.0019290181226097047,6.254813194274902,0.9710496485918415,0.9710496485918415,-0.40037062764167786,-0.40037062764167786,-0.40037062764167786,1.5736680126479272,5.315177654354145
25,0.8,3,0.0,0.0010477056493982673,4.178769813734107e-05,-0.0005026069120503962,6.263675212860107,0.9812358768506979,0.9812358768506979,-0.3904927372932434,-0.3904927372932434,-0.3904927372932434,10.799935631498169,8.962747512538677
26,0.8500000000000001,3,0.5000000000000004,0.0015015975222922866,0.0003491874722385549,-0.0010086374531965707,6.262843608856201,0.9802800101795413,0.9802800101795413,-0.3903352618217468,-0.3903352618217468,-0.3903352618217468,1.2795618117803411,9.28749124882418
27,0.9,3,0.9999999999999998,0.001955489395186305,0.0006565872463397681,-0.0015146679943427441,6.262012004852295,0.9793241435083847,0.9793241435083847,-0.39017778635025024,-0.39017778635025024,-0.39017778635025024,1.2795618117803411,18.851855790476492
28,0.9500000000000001,3,1.5000000000000002,0.0014658968721050767,0.0006695772462990135,-0.0012890316429547966,6.2605955600738525,0.9776960460618992,0.9776960460618992,-0.39027395844459534,-0.39027395844459534,-0.39027395844459534,0.7984021392781354,19.37559781453324
29,1.0,3,1.9999999999999996,0.0009763043490238492,0.0006825672462582588,-0.001063395291566849,6.25917911529541,0.9760679486154137,0.9760679486154137,-0.39037013053894043,-0.39037013053894043,-0.39037013053894043,0.7984021392781354,11.764310292595882
30,1.05,3,2.5,0.0008128970803227276,0.0008169625070877373,-0.0011445991694927216,6.255340337753296,0.971655560635972,0.971655560635972,-0.39076462388038635,-0.39076462388038635,-0.39076462388038635,0.8410292750490325,12.858911657811046
31,1.1,3,3.0000000000000004,0.0006494898116216061,0.000951357767917216,-0.0012258030474185944,6.251501560211182,0.9672431726565304,0.9672431726565304,-0.3911591172218323,-0.3911591172218323,-0.3911591172218323,0.8410356198410339,21.787452651386516
32,1.1500000000000001,3,3.500000000000001,0.0003944459167541931,0.0012571320403367285,-0.00141354714287445,6.246668100357056,0.9616874716747763,0.9616874716747763,-0.39125680923461914,-0.39125680923461914,-0.39125680923461914,1.1209399806537914,34.27905053481776
33,1.2000000000000002,4,0.0,0.0015218135667964816,-0.0004025628149975091,-0.00029831394203938544,6.257101535797119,0.9736799262035849,0.9736799262035849,-0.3934404253959656,-0.3934404253959656,-0.3934404253959656,7.305772843325528,25.805245248887896
34,1.25,4,0.4999999999999982,0.001591067644767463,-0.00023646248882869318,-0.00044724896724801456,6.256793975830078,0.9733264090000895,0.9733264090000895,-0.39402538537979126,-0.39402538537979126,-0.39402538537979126,0.882756703935148,11.419289522658799
35,1.3,4,0.9999999999999987,0.0016603217227384446,-7.03621626598765e-05,-0.0005961839924566444,6.256486415863037,0.9729728917965941,0.9729728917965941,-0.39461037516593933,-0.39461037516593933,-0.39461037516593933,0.8827764527685754,27.538319686237983
36,1.35,4,1.4999999999999991,0.0018685138202272351,9.763293928699538e-05,-0.0008499031828250732,6.254231929779053,0.9703815284816695,0.9703815284816695,-0.39448970556259155,-0.39448970556259155,-0.39448970556259155,1.1832865362058513,34.49214970158784
37,1.4000000000000001,4,1.9999999999999996,0.0020767059177160263,0.00026562804123386724,-0.0011036223731935022,6.251977443695068,0.967790165166745,0.967790165166745,-0.3943690359592438,-0.3943690359592438,-0.3943690359592438,1.1833850277332485,33.156522598602145
38,1.4500000000000002,4,2.5,0.0016565443365834653,0.00042926263995468616,-0.0010029931436292827,6.247344255447388,0.9624646614337787,0.9624646614337787,-0.39507848024368286,-0.39507848024368286,-0.39507848024368286,0.8207416356784172,25.720371319882034
39,1.5,4,2.9999999999999982,0.0012363827554509059,0.0005928972386755043,-0.0009023639140650633,6.242711067199708,0.9571391577008124,0.9571391577008124,-0.39578792452812195,-0.39578792452812195,-0.39578792452812195,0.8207345994070884,12.8284618951206
40,1.55,4,3.4999999999999987,0.0017721320618875312,0.0012463456077966822,-0.0016105296672321839,6.2383201122283936,0.9520920830211418,0.9520920830211418,-0.3957200050354004,-0.3957200050354004,-0.3957200050354004,1.8915597467273253,1.9004446828939852
41,1.6,4,3.999999999999999,0.0023078813683241597,0.0018997939769178616,-0.002318695420399307,6.23392915725708,0.9470450083414711,0.9470450083414711,-0.39565208554267883,-0.39565208554267883,-0.39565208554267883,1.8914465850504445,9.995855078601604
42,1.6500000000000001,5,0.0,0.0020747415255755186,0.0019310230854898691,-0.0018485062755644321,6.256543159484863,0.9730381143504173,0.9730381143504173,-0.40565207600593567,-0.4066926836967468,-0.4066926836967468,20.0549589280209,1.575985026837852
43,1.7000000000000002,5,0.5000000000000004,0.0014945361181162293,0.0015939665609039362,-0.001541357429232448,6.244292736053467,0.9589571678775478,0.9589571678775478,-0.40705427527427673,-0.40705427527427673,-0.40705427527427673,7.419599827895822,11.919711476656943
44,1.75,5,0.9999999999999987,0.0009143307106569425,0.001256910036318005,-0.0012342085829004652,6.23204231262207,0.9448762214046782,0.9448762214046782,-0.40741586685180664,-0.40741586685180664,-0.40741586685180664,0.9923603483433113,23.354034274787026
45,1.8,5,1.4999999999999991,0.0007034137379378085,0.0014799379277974363,-0.0014896488282829519,6.207277059555054,0.9164104132816706,0.9164104132816706,-0.40705054998397827,-0.40705054998397827,-0.40705054998397827,1.2436863655702108,39.63045204869554
46,1.85,5,1.9999999999999996,0.0004924967652186754,0.0017029658192768693,-0.0017450890736654399,6.182511806488037,0.887944605158663,0.887944605158663,-0.4066852331161499,-0.4066852331161499,-0.4066852331161499,1.2436380352548286,24.272562937401325
47,1.9000000000000001,5,2.5,0.0002624870448926231,0.001817292650230229,-0.0018400069675408304,6.152226686477661,0.8531341223881159,0.8531341223881159,-0.40596380829811096,-0.40596380829811096,-0.40596380829811096,1.3671098405762785,14.974644046032488
48,1.9500000000000002,5,3.0000000000000004,3.247732456657081e-05,0.0019316194811835887,-0.0019349248614162207,6.121941566467285,0.8183236396175689,0.8183236396175689,-0.405242383480072,-0.405242383480072,-0.405242383480072,1.367048812551017,11.12677329412383
49,2.0,5,3.4999999999999987,-0.00022914364853931986,0.002149897103663533,-0.001983391004614532,6.098451137542725,0.7913231466008326,0.7913231466008326,-0.4062524139881134,-0.4062524139881134,-0.4062524139881134,1.579251737555153,13.689272744707099
50,2.0500000000000003,6,0.0,2.1903120796196163e-05,0.0015598500613123178,-0.0012707868590950966,6.184506416320801,0.8902372601388512,0.8902372601388512,-0.41625240445137024,-0.4232517182826996,-0.4232517182826996,24.062258926214902,17.908202713534482
51,2.1,6,0.4999999999999982,-0.0003207114423275913,0.002979121054522688,-0.002092542126774785,6.160380601882935,0.8625064389459015,0.8625064389459015,-0.4250667989253998,-0.4250667989253998,-0.4250667989253998,9.43338142136165,24.856318921620172
52,2.15,6,0.9999999999999964,-0.0006633260054513787,0.004398392047733058,-0.002914297394454473,6.136254787445068,0.8347756177529518,0.8347756177529518,-0.4268818795681,-0.4268818795681,-0.4268818795681,2.6588960013836567,34.260214205950994
53,2.2,6,1.4999999999999991,-0.0007044583035167307,0.003773554810322822,-0.0027381755644455556,6.112137794494629,0.8070549362007227,0.8070549362007227,-0.42629918456077576,-0.42629918456077576,-0.42629918456077576,2.063655641725805,48.48070141245746
54,2.25,6,1.9999999999999973,-0.0007455906015820799,0.0031487175729125773,-0.002562053734436632,6.0880208015441895,0.7793342546484934,0.7793342546484934,-0.42571648955345154,-0.42571648955345154,-0.42571648955345154,2.0636381815576303,31.06033781265941
55,2.3000000000000003,6,2.5,-0.0009172548598144203,0.003672873950563371,-0.0027781776152551174,6.06771993637085,0.7559999268630453,0.7559999268630453,-0.4235910177230835,-0.4235910177230835,-0.4235910177230835,2.6346723648771984,22.599329137234594
56,2.35,6,2.9999999999999982,-0.00108891911804676,0.004197030328214166,-0.0029943014960736028,6.04741907119751,0.7326655990775972,0.7326655990775972,-0.42146551609039307,-0.42146551609039307,-0.42146551609039307,2.634696407392931,22.186619870629883
57,2.4000000000000004,6,3.500000000000001,-0.0006205360841704524,0.002804258954711256,-0.002060702303424476,6.025737285614014,0.707744006452889,0.707744006452889,-0.42224326729774475,-0.42224326729774475,-0.42224326729774475,0.9063311403677943,29.70048406054931
58,2.45,6,3.999999999999999,-0.00015215305029414678,0.0014114875812083507,-0.001127103110775353,6.004055500030518,0.6828224138281809,0.6828224138281809,-0.42302101850509644,-0.42302101850509644,-0.42302101850509644,0.9063417612334829,44.36090548471437
59,2.5,7,0.0,-0.0011879658559337258,0.005005198996514082,-0.0028220100793987513,6.057912826538086,0.7447273868253859,0.7447273868253859,-0.43302100896835327,-0.44776859879493713,-0.44776859879493713,36.45632036632772,49.96710751561109
60,2.5500000000000003,7,0.5000000000000027,-0.0006899822619743619,0.003525126026943318,-0.0021678282646462287,6.0371057987213135,0.7208112628980612,0.7208112628980612,-0.4430210292339325,-0.4478261470794678,-0.4478261470794678,21.493227069546204,63.31987576292899
