dataset_step,sim_t_sec,replan_count,chunk_phase,raw_dx,raw_dy,raw_dz,raw_gripper,target_gripper,filtered_gripper,current_z,target_z,target_filtered_z,pos_err_mm,rot_err_deg
9,0.0,1,0.0,4.221622657496482e-05,0.001006651553325355,0.00014803122030571103,6.261706829071045,0.9789733667483272,0.9789733667483272,-0.4045267105102539,-0.4045267105102539,-0.4045267105102539,1.0183400321990979,167.0297169216619
10,0.05,1,0.5,4.221622657496482e-05,0.001006651553325355,0.00014803122030571103,6.261706829071045,0.9789733667483272,0.9789733667483272,-0.4045267105102539,-0.4045267105102539,-0.4045267105102539,0.0,160.10909221160497
11,0.1,1,1.0,-0.00036094459937885404,0.0012101329630240798,0.0003194357268512249,6.2599639892578125,0.9769701025951865,0.9769701025951865,-0.4041326940059662,-0.4041326940059662,-0.4041326940059662,1.3025929932797244,74.81371859823058
12,0.15000000000000002,1,1.5000000000000002,-0.00036094459937885404,0.0012101329630240798,0.0003194357268512249,6.2599639892578125,0.9769701025951865,0.9769701025951865,-0.4041326940059662,-0.4041326940059662,-0.4041326940059662,0.0,67.6266576647619
13,0.2,1,2.0,-0.000709794694557786,0.003182511543855071,-3.246924461564049e-05,6.260513782501221,0.9776020488519775,0.9776020488519775,-0.4066828191280365,-0.4066828191280365,-0.4066828191280365,3.260873402940437,87.46504865960017
14,0.25,1,2.5,-0.000709794694557786,0.003182511543855071,-3.246924461564049e-05,6.260513782501221,0.9776020488519775,0.9776020488519775,-0.4066828191280365,-0.4066828191280365,-0.4066828191280365,0.0,80.59801737458575
15,0.30000000000000004,1,3.0000000000000004,-0.0003452044038567692,0.0013180965324863791,-0.00031176346237771213,6.257856369018555,0.9745475505960396,0.9745475505960396,-0.40767863392829895,-0.40767863392829895,-0.40767863392829895,1.3977724878845372,103.31631675128877
16,0.35000000000000003,1,3.5,-0.0003452044038567692,0.0013180965324863791,-0.00031176346237771213,6.257856369018555,0.9745475505960396,0.9745475505960396,-0.40767863392829895,-0.40767863392829895,-0.40767863392829895,0.0,96.23397427195535
17,0.4,1,4.0,0.00021749029110651463,0.0020782696083188057,-0.0010635590879246593,6.2624711990356445,0.9798519529145336,0.9798519529145336,-0.4061741530895233,-0.4061741530895233,-0.4061741530895233,2.34471958943106,2.463451935878529
18,0.45,1,4.5,0.00021749029110651463,0.0020782696083188057,-0.0010635590879246593,6.2624711990356445,0.9798519529145336,0.9798519529145336,-0.4061741530895233,-0.4061741530895233,-0.4061741530895233,0.0,7.076601548837995e-15
19,0.5,1,5.0,0.0010811983374878764,0.003760751336812973,-0.0023374375887215137,6.263799667358398,0.9813789279981588,0.9813789279981588,-0.40966472029685974,-0.40966472029685974,-0.40966472029685974,4.557966839897708,155.12006205612172
20,0.55,1,5.5,0.0010811983374878764,0.003760751336812973,-0.0023374375887215137,6.263799667358398,0.9813789279981588,0.9813789279981588,-0.40966472029685974,-0.40966472029685974,-0.40966472029685974,0.0,148.2324415078848
21,0.6000000000000001,1,6.000000000000001,0.0009817524114623666,0.0016951682046055794,-0.0011603725142776966,6.251402378082275,0.9671291702095116,0.9671291702095116,-0.4092009961605072,-0.4092009961605072,-0.4092009961605072,2.276821322442332,45.08377416061986
