dataset_step,sim_t_sec,replan_count,chunk_phase,raw_dx,raw_dy,raw_dz,raw_gripper,target_gripper,filtered_gripper,current_z,target_z,target_filtered_z,pos_err_mm,rot_err_deg
9,0.0,1,0.0,0.0016246612649410963,0.0019813228864222765,-0.0015508810756728053,6.2573933601379395,0.9740153564803898,0.9740153564803898,-0.4068860709667206,-0.4068860709667206,-0.4068860709667206,2.995077078233977,157.5602174595151
10,0.05,1,0.5,0.0011246611538808793,0.0015127200167626143,-0.0011893942719325423,6.2523109912872314,0.968173553203714,0.968173553203714,-0.4064177870750427,-0.4064177870750427,-0.4064177870750427,0.7358196179795772,78.24074697459713
11,0.1,1,1.0,0.0006246610428206623,0.001044117147102952,-0.0008279074681922793,6.247228622436523,0.9623317499270382,0.9623317499270382,-0.4059494733810425,-0.4059494733810425,-0.4059494733810425,0.7358360670057156,7.70243899918258
12,0.15000000000000002,1,1.5000000000000002,0.000939127668971196,0.0014586360775865617,-0.0011127563775517049,6.238384962081909,0.952166623082654,0.952166623082654,-0.40686681866645813,-0.40686681866645813,-0.40686681866645813,1.3260171393201752,68.3847746504211
13,0.2,1,2.0,0.0012535942951217294,0.0018731550080701709,-0.00139760528691113,6.229541301727295,0.9420014962382698,0.9420014962382698,-0.4077841639518738,-0.4077841639518738,-0.4077841639518738,1.326021860126697,130.18453183936936
14,0.25,1,2.5,0.0013217744417488575,0.0023563457070849836,-0.0016130044823512435,6.212101459503174,0.9219557005783604,0.9219557005783604,-0.406549334526062,-0.406549334526062,-0.406549334526062,1.8260157853362498,134.75921912380477
15,0.30000000000000004,1,3.0000000000000004,0.0013899545883759856,0.0028395364060997967,-0.0018284036777913573,6.194661617279053,0.9019099049184511,0.9019099049184511,-0.40531447529792786,-0.40531447529792786,-0.40531447529792786,1.8261237024316628,139.31589611852846
16,0.35000000000000003,1,3.5,0.001348165504168719,0.0031317862449213862,-0.0020630491198971868,6.168914556503296,0.8723155821876961,0.8723155821876961,-0.4040240943431854,-0.4040240943431854,-0.4040240943431854,2.1627023643494803,61.217004279180294
17,0.4,1,4.0,0.0013063764199614525,0.003424036083742976,-0.0022976945620030165,6.143167495727539,0.8427212594569412,0.8427212594569412,-0.402733713388443,-0.402733713388443,-0.402733713388443,2.162679585457443,24.16061307321112
18,0.45,1,4.5,0.0014327109674923122,0.004368921858258545,-0.0029183299047872424,6.1134467124938965,0.8085594396481566,0.8085594396481566,-0.404071569442749,-0.404071569442749,-0.404071569442749,3.2859749025787544,57.55938757924355
